uid;name;gs_x;gs_y;gs_z;cg;osn;mark;spf;tt
CstFUv90Y5iKSA;Стенка 1-1;615;385;0;20;004-006-042;В95оч;Плита;"ЭМП носовой части крыла правой 70.0022.2.0040.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя диаметром <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины {{FC@@+0,2@@-0,2@@}} мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный - после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62. Разрешается маркировать спец.тушью."
64pJ$au7Y5iKSA;Накладка;420;190;0;20;002-072-042;Д19ч;Лист;ЭМП носовой части крыла правой 70.0022.0.0040.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный - после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62 .Разрешается маркировать спец. тушью.
3gpJ9rbaY5iKSA;Носок 5;480;305;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла левой 70.0022.2.0040.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя диаметром <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный - после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62.Разрешается маркировать спец. тушью."
3ztFx4M_Y5iKSA;Стенка 5;2525;330;0;20;004-006-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Допускается изготавливать из профиля ПФ89-1ВН В95пчТ2 ОСТ 1 92066-91. При изготовлении из данного профиля дополнительная термообработка не требуется. Для подтверждения механических свойств заготовки испытать образцы: в долевом направлении <font face=""Ari | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины : {{FC@@+0.2@@-0.1}} мм . | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
BdjFx4M_Y5iKSA;Диафрагма 5-5;255;270;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины : {{FC@@+0.2@@-0.1}} мм . | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
BglFx4M_Y5iKSA;Диафрагма 5-1;280;275;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины : {{FC@@+0.2@@-0.1}} мм . | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
DzgF0Y$uY5iKSA;-1;350;480;0;20;004-017-042;-1;-1;"ЭМП носовой части крыла 70.0022.2.0040.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины : {{FC@@+0.2@@-0.1}} мм . | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62. Разрешается маркировать специальной тушью"
05uBBDt4Y5iKSA;Профиль нижний;230;50;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font>2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font>0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
0GtBBDt4Y5iKSA;Крышка люка нижняя;640;330;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font>2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font>0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие поверхность А - Ан.Окс.нхр/Грунтовка ЭП-0215. 469 ОСТ 1 90055-85, остальные поверхности - Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
$tnJpOakY5iKSA;Диафрагма 1-5;450;420;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины : {{FC@@+0.2@@-0.2}} мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62. Разрешается маркировать специальной тушью."
